GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2017100110,2017-10-01,2,7,38,PHI,LAC,1,15,76,,0,,0,"(7:38) (SHOTGUN) 28-W.SMALLWOOD RIGHT TACKLE TO LAC 22 FOR 2 YARDS (58-N.HARRIS).",0,,,2017,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT TACKLE",24,OPP,0,,0,,0
2017100110,2017-10-01,2,8,2,PHI,LAC,1,10,81,,0,,0,"(8:02) (SHOTGUN) PENALTY ON PHI-62-J.KELCE, FALSE START, 5 YARDS, ENFORCED AT LAC 19 - NO PLAY.",0,,,2017,0,SHOTGUN,"NO PLAY",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,19,OPP,1,PHI,1,"FALSE START",5
2017100110,2017-10-01,2,9,27,PHI,LAC,1,10,55,,1,,0,"(9:27) (SHOTGUN) 11-C.WENTZ PASS SHORT MIDDLE TO 13-N.AGHOLOR TO LAC 31 FOR 14 YARDS (50-H.PULLARD, 58-N.HARRIS).",0,,,2017,14,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,45,OPP,0,,0,,0
2017100110,2017-10-01,2,12,7,LAC,PHI,4,6,52,,0,,0,"(12:07) 8-D.KASER PUNTS 48 YARDS TO END ZONE, CENTER-47-M.WINDT, TOUCHBACK.",0,,,2017,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
2017100110,2017-10-01,1,0,10,PHI,LAC,4,12,73,,0,,0,"(:10) 4-J.ELLIOTT 45 YARD FIELD GOAL IS GOOD, CENTER-45-R.LOVATO, HOLDER-8-D.JONES.",0,,,2017,0,"FIELD GOAL","FIELD GOAL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,27,OPP,0,,0,,0
2017100110,2017-10-01,1,0,46,PHI,LAC,3,13,72,,0,,0,"(:46) 30-C.CLEMENT UP THE MIDDLE TO LAC 27 FOR 1 YARD (99-J.BOSA).",0,,,2017,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,28,OPP,0,,0,,0
2017100110,2017-10-01,1,0,51,PHI,LAC,2,13,72,,0,,0,"(:51) (SHOTGUN) 11-C.WENTZ PASS INCOMPLETE SHORT LEFT TO 17-A.JEFFERY (26-C.HAYWARD) [56-K.TOOMER].",0,,,2017,0,SHOTGUN,PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,28,OPP,0,,0,,0
2017100110,2017-10-01,1,1,34,PHI,LAC,1,10,75,,0,,0,"(1:34) (SHOTGUN) 11-C.WENTZ FUMBLES (ABORTED) AT LAC 25, AND RECOVERS AT LAC 28. 11-C.WENTZ TO LAC 28 FOR NO GAIN (95-T.PALEPOI).",0,,,2017,0,SHOTGUN,FUMBLES,0,0,0,0,,0,0,0,,0,0,1,0,0,0,,25,OPP,0,,0,,0
2017100110,2017-10-01,1,2,18,PHI,LAC,2,12,55,,1,,0,"(2:18) 11-C.WENTZ PASS SHORT LEFT TO 29-L.BLOUNT TO LAC 25 FOR 20 YARDS (37-J.ADDAE, 33-T.BOSTON).",0,,,2017,20,"UNDER CENTER",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,45,OPP,0,,0,,0
2017100110,2017-10-01,1,8,0,PHI,LAC,0,0,85,,1,,0,"4-J.ELLIOTT EXTRA POINT IS GOOD, CENTER-45-R.LOVATO, HOLDER-8-D.JONES.",0,,,2017,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2017100110,2017-10-01,1,8,5,PHI,LAC,2,8,92,,1,,0,"(8:05) (SHOTGUN) 11-C.WENTZ PASS SHORT MIDDLE TO 17-A.JEFFERY FOR 8 YARDS, TOUCHDOWN.",0,,,2017,8,SHOTGUN,PASS,0,1,0,1,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,8,OPP,0,,0,,0
2017100110,2017-10-01,1,8,44,PHI,LAC,1,3,97,,0,,0,"(8:44) 30-C.CLEMENT LEFT END TO LAC 8 FOR -5 YARDS (57-J.BROWN, 99-J.BOSA).",0,,,2017,-5,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT END",3,OPP,0,,0,,0
2017100110,2017-10-01,1,9,10,PHI,LAC,3,3,61,,1,,0,"(9:10) (SHOTGUN) 11-C.WENTZ PASS DEEP RIGHT TO 13-N.AGHOLOR PUSHED OB AT LAC 3 FOR 36 YARDS (20-D.KING) [54-M.INGRAM].",0,,,2017,36,SHOTGUN,PASS,0,1,0,0,"DEEP RIGHT",0,0,0,,0,0,0,0,0,0,,39,OPP,0,,0,,0
